Database,Units,Series_Code,Country,Descriptor,1970A1,1971A1,1972A1,1973A1,1974A1,1975A1,1976A1,1977A1,1978A1,1979A1,1980A1,1981A1,1982A1,1983A1,1984A1,1985A1,1986A1,1987A1,1988A1, y_1989,y_1990,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002
"World Economic Outlook, May 2001",Annual percent change,W926NGDP_R%,UKRAINE,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-10.62,-17,-14.2,-22.9,-12.24,-9.98,-3.35,-1.94,-0.44,4.23,3.97,4.51
"World Economic Outlook, May 2001",Annual percent change,W466NGDP_R%,UNITED ARAB EMIRATES,"Gross domestic product, constant prices",14.5,14.5,14.5,14.5,14.5,6.23,15.04,17.44,-4.38,3.61,-1.79,7.88,-7.06,-5.35,4.46,-2.47,-19.41,5.52,-2.57,13.32,17.53,0.21,16.79,4.6,6.62,6.74,4.89,8.12,0.28,0.52,5.83,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W112NGDP_R%,UNITED KINGDOM,"Gross domestic product, constant prices",2.28,1.99,3.5,7.36,-1.7,-0.7,2.8,2.35,3.4,2.76,-2.2,-1.28,1.8,3.74,2.42,3.81,4.22,4.44,5.18,2.14,0.64,-1.32,0.07,2.33,4.39,2.79,2.55,3.51,2.64,2.29,3.04,2.56,2.82
"World Economic Outlook, May 2001",Annual percent change,W111NGDP_R%,UNITED STATES,"Gross domestic product, constant prices",0.19,3.34,5.43,5.77,-0.59,-0.36,5.56,4.64,5.52,3.18,-0.23,2.45,-2.02,4.33,7.26,3.85,3.42,3.4,4.17,3.51,1.76,-0.47,3.05,2.65,4.04,2.67,3.57,4.43,4.37,4.23,4.99,1.46,2.53
"World Economic Outlook, May 2001",Annual percent change,W298NGDP_R%,URUGUAY,"Gross domestic product, constant prices",4.81,1.69,-1.55,0.36,3.14,5.86,3.98,1.17,5.28,6.17,5.97,1.9,-9.5,-5.8,-1.09,1.48,8.86,7.93,-0.01,1.1,2.01,3.54,7.93,2.66,7.28,-1.45,5.58,4.87,4.6,-3.21,-1.02,2.02,3.98
"World Economic Outlook, May 2001",Annual percent change,W927NGDP_R%,UZBEKISTAN,"Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-0.5,-11.1,-2.3,-4.2,-0.9,1.6,2.5,4.3,4.34,4,1,1
"World Economic Outlook, May 2001",Annual percent change,W846NGDP_R%,VANUATU,"Gross domestic product, constant prices",10.15,4.34,2.11,6.83,3.43,6.06,1.25,6.53,8.68,3.22,5.45,1,1.98,3.01,6.86,1.11,-2.02,0.42,0.57,4.06,11.57,4.33,-0.72,4.45,1.28,2.28,0.4,0.6,6,-2.51,3.97,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W299NGDP_R%,VENEZUELA,"Gross domestic product, constant prices",8.76,3.02,2.73,6.25,6.06,6.08,8.77,6.72,2.08,1.32,-1.9,-0.41,0.71,-5.51,1.16,0.19,6.51,3.57,5.84,-8.59,6.48,9.74,6.05,0.28,-2.35,3.95,-0.2,6.37,0.17,-6.09,3.22,3.3,2.8
"World Economic Outlook, May 2001",Annual percent change,W582NGDP_R%,VIETNAM,"Gross domestic product, constant prices",7.82,3.8,1.96,-1.42,2.48,2.99,11,13.56,1.77,6.72,-3.5,5.8,8.15,7.09,8.4,5.62,3.36,2.55,5.1,7.8,4.9,6.01,8.65,8.07,8.84,9.54,9.34,8.15,3.5,4.2,5.5,5,6
"World Economic Outlook, May 2001",Annual percent change,W474NGDP_R%,"YEMEN, REPUBLIC OF","Gross domestic product, constant prices",n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,n.a.,-2.09,4.84,0.4,-3.62,7.95,2.93,8.09,5.28,3.79,6.46,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W754NGDP_R%,ZAMBIA,"Gross domestic product, constant prices",-13.69,0.06,9.84,-0.96,6.74,-2.43,4.31,-4.34,0.57,-3.04,3.85,6.63,-2.91,-1.14,-1.72,1.24,1.7,1.49,9.27,-3.66,-0.48,-0.74,2.04,-0.09,-13.25,-2.31,6.48,3.48,-2.18,2.45,4.02,n.a.,n.a.
"World Economic Outlook, May 2001",Annual percent change,W698NGDP_R%,ZIMBABWE,"Gross domestic product, constant prices",5.88,12.04,9.71,-7.53,17.31,-2.8,-0.79,-5.69,-2.15,3.8,10.68,12.53,2.63,1.59,-1.91,6.94,2.1,1.15,7.55,5.22,6.98,5.52,-9.01,1.06,7.13,-0.56,8.66,3.75,2.47,-0.22,-5.52,n.a.,n.a.
